concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason,load_table_id,load_row_id
37046659,42530595,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3965206,45875996,Is a,01/01/1970,31/12/2099,,concept_relationship,0
36860968,21601387,Is a,01/01/1970,31/12/2099,,concept_relationship,0
46236760,36208195,Is a,01/01/1970,31/12/2099,,concept_relationship,0
1989019,1990925,Is a,01/01/1970,31/12/2099,,concept_relationship,0
42005802,42007310,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41899568,41893646,Is a,01/01/1970,31/12/2099,,concept_relationship,0
1176200,36210656,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41910582,41899634,Is a,01/01/1970,31/12/2099,,concept_relationship,0
36304320,36210656,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3013218,45876005,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3033204,45876009,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3004721,45876016,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41935895,41929343,Is a,01/01/1970,31/12/2099,,concept_relationship,0
42070559,42057326,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41927033,41922879,Is a,01/01/1970,31/12/2099,,concept_relationship,0
40792976,40782545,Is a,01/01/1970,31/12/2099,,concept_relationship,0
37075154,40786473,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3019960,45876016,Is a,01/01/1970,31/12/2099,,concept_relationship,0
42080928,42054565,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41925042,41924225,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41896082,41892357,Is a,01/01/1970,31/12/2099,,concept_relationship,0
40765395,36207527,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41994852,41987377,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41973465,41971048,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3018256,37028397,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3042268,45876005,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3007213,45875995,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41960019,41931086,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41956337,41929484,Is a,01/01/1970,31/12/2099,,concept_relationship,0
42054886,42046189,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3017643,37023215,Is a,01/01/1970,31/12/2099,,concept_relationship,0
42035922,42035303,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3043427,36208195,Is a,01/01/1970,31/12/2099,,concept_relationship,0
42017478,42004305,Is a,01/01/1970,31/12/2099,,concept_relationship,0
36204406,36208195,Is a,01/01/1970,31/12/2099,,concept_relationship,0
42529232,45876002,Is a,01/01/1970,31/12/2099,,concept_relationship,0
37066032,44817298,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3023334,45876016,Is a,01/01/1970,31/12/2099,,concept_relationship,0
42059853,42054882,Is a,01/01/1970,31/12/2099,,concept_relationship,0
40770727,45876081,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41949695,41930447,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3021010,45876135,Is a,01/01/1970,31/12/2099,,concept_relationship,0
42011542,42007354,Is a,01/01/1970,31/12/2099,,concept_relationship,0
42032804,42032223,Is a,01/01/1970,31/12/2099,,concept_relationship,0
42077403,42054155,Is a,01/01/1970,31/12/2099,,concept_relationship,0
40762364,45876000,Is a,01/01/1970,31/12/2099,,concept_relationship,0
311,307,Is a,01/01/1970,31/12/2099,,concept_relationship,0
40765277,36207527,Is a,01/01/1970,31/12/2099,,concept_relationship,0
36306108,36207527,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3048529,37066693,Is a,01/01/1970,31/12/2099,,concept_relationship,0
42074102,42054504,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3031803,45876009,Is a,01/01/1970,31/12/2099,,concept_relationship,0
40758559,36207527,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3012670,45875999,Is a,01/01/1970,31/12/2099,,concept_relationship,0
42084129,42083166,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3003292,37065032,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41956839,41929547,Is a,01/01/1970,31/12/2099,,concept_relationship,0
42051043,42034292,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41944792,41929323,Is a,01/01/1970,31/12/2099,,concept_relationship,0
37056841,37050224,Is a,01/01/1970,31/12/2099,,concept_relationship,0
42009363,42007310,Is a,01/01/1970,31/12/2099,,concept_relationship,0
42013280,42008677,Is a,01/01/1970,31/12/2099,,concept_relationship,0
42065447,42055073,Is a,01/01/1970,31/12/2099,,concept_relationship,0
40788020,37077830,Is a,01/01/1970,31/12/2099,,concept_relationship,0
36031183,45876247,Is a,01/01/1970,31/12/2099,,concept_relationship,0
37050530,40779859,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3035662,37038586,Is a,01/01/1970,31/12/2099,,concept_relationship,0
42528789,37037170,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41954502,41930145,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41966180,41929751,Is a,01/01/1970,31/12/2099,,concept_relationship,0
40763207,37054419,Is a,01/01/1970,31/12/2099,,concept_relationship,0
36203558,45876016,Is a,01/01/1970,31/12/2099,,concept_relationship,0
37037058,37047973,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3000612,45876005,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41896447,41892143,Is a,01/01/1970,31/12/2099,,concept_relationship,0
40768469,45875996,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3019092,45876244,Is a,01/01/1970,31/12/2099,,concept_relationship,0
37028892,37074970,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3020949,36207527,Is a,01/01/1970,31/12/2099,,concept_relationship,0
