drug_concept_id,ingredient_concept_id,amount_value,amount_unit_concept_id,numerator_value,numerator_unit_concept_id,denominator_value,denominator_unit_concept_id,box_size,valid_start_date,valid_end_date,invalid_reason,load_table_id,load_row_id
44029800,1135766,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
40893340,919839,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
43621110,43532148,,8576,,,,,,01/07/2013,31/12/2099,,drug_strength,0
44183309,943852,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
36857196,36857196,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
44082268,1317640,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
36889547,19051234,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
41206710,1000560,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
40722039,19016435,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
44070566,19037223,,8510,,,,,,01/01/1970,31/12/2099,,drug_strength,0
41080872,1103314,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
43190161,1125315,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
40078149,1105889,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
44107474,1353228,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
43276904,1360067,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
44056290,1394027,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
44031837,42898493,,8576,,,,,,01/10/2012,31/12/2099,,drug_strength,0
964168,964168,,8576,,,,,,02/04/2018,31/12/2099,,drug_strength,0
44120849,19024770,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
41111808,43532148,,8576,,,,,,01/07/2013,31/12/2099,,drug_strength,0
40028586,1518254,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
43134102,1344381,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
40062926,1521369,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
41301351,1106647,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
44175983,42904269,,8576,,,,,,03/12/2012,31/12/2099,,drug_strength,0
44122595,19092849,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
40924580,43012215,,8576,,,,,,07/01/2013,31/12/2099,,drug_strength,0
43174066,1337620,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
36885644,19052489,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
41301022,19136028,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
1758725,975125,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
1301940,1301940,,8576,,,,,,01/05/2023,31/12/2099,,drug_strength,0
40830978,42899647,,9325,,,,,,01/10/2012,31/12/2099,,drug_strength,0
40090952,1436678,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
43525872,43525872,,8576,,,,,,01/04/2013,31/12/2099,,drug_strength,0
40062619,1707164,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
36854408,36854408,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
40986409,19111620,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
44108313,986417,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
41267418,40161706,,8576,,,,,,05/07/2009,31/12/2099,,drug_strength,0
44120670,19008281,,9325,,,,,,01/01/1970,31/12/2099,,drug_strength,0
36878620,36878620,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
41205662,1391307,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
44081922,19097109,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
42480279,1596977,,8510,,,,,,01/01/1970,31/12/2099,,drug_strength,0
35851220,925636,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
35144386,939976,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
588798,1338512,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
